size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
113000;0;2.88172e-05;0.0185465;0.00043068;0.000299226;0.00109466;0.000590556;0.00256158
113500;0;2.88173e-05;0.021054;0.000416863;0.000301989;0.00111677;0.000610689;0.00261013
114000;0;2.88172e-05;0.0218482;0.000417258;0.000292515;0.00098097;0.000613452;0.00269777
114500;3.94764e-07;3.11858e-05;0.0187363;0.000477656;0.000292515;0.000953337;0.000590951;0.00269777
115000;0;3.47386e-05;0.0204219;0.000465418;0.000304752;0.000950969;0.000591345;0.00270961
115500;0;3.00015e-05;0.0190707;0.000508052;0.000290146;0.000956101;0.000648191;0.00277869
116000;3.94764e-07;2.9212e-05;0.0194433;0.000415679;0.000304357;0.00100781;0.000643848;0.00275027
116500;0;2.9212e-05;0.0187209;0.000423574;0.00040502;0.00094939;0.000635558;0.00264605
117000;0;3.0791e-05;0.0184987;0.000411336;0.000310673;0.000956495;0.000604372;0.00280514
117500;3.94764e-07;3.27649e-05;0.0190916;0.000414495;0.000305542;0.000999129;0.000598451;0.00270803
118000;0;3.67124e-05;0.0211838;0.000421995;0.000304752;0.000950969;0.000677797;0.00273093
118500;3.94764e-07;5.72397e-05;0.0243478;0.000411731;0.00030791;0.000983734;0.000591345;0.00272303
119000;0;3.86861e-05;0.0189712;0.000401862;0.000302778;0.000971891;0.000593319;0.00281343
119500;0;3.0791e-05;0.0193411;0.000450023;0.000309489;0.00100781;0.000592135;0.00262868
120000;0;3.19753e-05;0.0188338;0.000401862;0.00029962;0.000996761;0.000596477;0.0026275
120500;0;5.13184e-05;0.018985;0.000401862;0.00029962;0.00108795;0.000597267;0.00262868
121000;0;5.76345e-05;0.0182433;0.000444496;0.000291725;0.00104018;0.00077096;0.00275659
121500;0;3.19753e-05;0.0182425;0.000401862;0.000315016;0.00143494;0.000594898;0.00298752
122000;0;5.28974e-05;0.0210484;0.000401862;0.000311068;0.00111085;0.000584635;0.00276527
122500;0;5.88187e-05;0.0217223;0.000401468;0.000294883;0.00101531;0.000602793;0.00341859
123000;0;8.68464e-05;0.0219295;0.000444496;0.000294488;0.00099755;0.000573976;0.00331082
123500;0;6.63191e-05;0.0197655;0.000401862;0.000292515;0.000988076;0.000574766;0.00270053
124000;3.94764e-07;7.303e-05;0.0196553;0.000424363;0.000303173;0.00194102;0.000583845;0.00265711
124500;3.94764e-07;0.000167772;0.0192341;0.000401862;0.000308305;0.00137691;0.000574371;0.00271593
125000;3.94764e-07;6.39505e-05;0.0191212;0.000474892;0.0003162;0.00129283;0.000639111;0.00254736
125500;0;5.0134e-05;0.0186479;0.000431074;0.000295278;0.0010544;0.000607925;0.00265079
126000;3.94764e-07;3.19752e-05;0.0187091;0.000401862;0.000302778;0.0010315;0.000590951;0.00258289
126500;0;3.00015e-05;0.0184115;0.000401073;0.000292909;0.00116927;0.000579898;0.0027175
127000;0;2.96067e-05;0.0185844;0.000402257;0.000377387;0.00100742;0.00060753;0.00258013
127500;0;3.00015e-05;0.0312789;0.000401862;0.000296068;0.00107966;0.000579503;0.00256355
128000;0;3.31596e-05;0.021907;0.000434627;0.000293304;0.000991234;0.000633979;0.00262987
128500;3.94764e-07;3.03963e-05;0.0193;0.000410942;0.000294094;0.000994787;0.000580687;0.0026429
129000;0;3.03963e-05;0.0190083;0.000410942;0.000351333;0.00101176;0.00060753;0.00274356
129500;0;3.00015e-05;0.018593;0.000503315;0.000342649;0.000998734;0.000603188;0.0026121
130000;0;3.90809e-05;0.0196502;0.000411336;0.000294094;0.000964785;0.000580292;0.00273843
130500;0;3.15806e-05;0.0190695;0.000401862;0.000318569;0.000991629;0.000580687;0.00257816
131000;0;8.13198e-05;0.0188603;0.000450812;0.000320937;0.000995182;0.000603583;0.00266145
131500;0;7.06615e-05;0.0229567;0.000632006;0.000317779;0.000935573;0.000583056;0.0026429
132000;0;3.63176e-05;0.024979;0.000571213;0.000296857;0.00106505;0.00059174;0.00268513
132500;3.94764e-07;5.17132e-05;0.0214238;0.000403836;0.000296857;0.00100071;0.00068135;0.00298989
133000;0;3.31595e-05;0.0195148;0.000442917;0.000360413;0.00134217;0.000594898;0.00268829
133500;0;3.3949e-05;0.0191891;0.000401468;0.000317779;0.00098926;0.000627663;0.00271395
134000;3.94764e-07;3.31596e-05;0.0201054;0.0004216;0.000345807;0.000969917;0.000578713;0.00304792
