size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
106500;0.0268735;0.00393928;0.00125691;0.0795131;0.0263978;0.00106703;0.000519105;0.00111163
107000;0.0265265;0.00442443;0.00110098;0.0810878;0.0308202;0.00108558;0.000525421;0.00108084
107500;0.0256868;0.00413666;0.00116848;0.0763444;0.0242365;0.00110571;0.000532132;0.00108953
108000;0.0258459;0.00429614;0.00109466;0.0789269;0.0249613;0.00110532;0.000543975;0.00107611
108500;0.0258921;0.00410389;0.0010919;0.0782858;0.024934;0.00109703;0.000530948;0.00108992
109000;0.0259655;0.0042685;0.00107966;0.0788388;0.0254523;0.00108321;0.000523053;0.001084
109500;0.0268004;0.00416152;0.00105558;0.0725239;0.02298;0.00109229;0.00052779;0.001024
110000;0.0263895;0.0041556;0.00143455;0.0764134;0.0246265;0.00108795;0.000530553;0.00104729
110500;0.027239;0.00414929;0.00111637;0.0759709;0.0251318;0.00110571;0.000549896;0.00107374
111000;0.0273006;0.00426416;0.00109427;0.0778464;0.0259462;0.00111124;0.000542001;0.00109111
111500;0.0279294;0.00431982;0.00113098;0.0786647;0.0260508;0.00111242;0.000537264;0.0010919
112000;0.0267862;0.00417416;0.00110611;0.0796958;0.0257543;0.00113058;0.00054358;0.00111163
112500;0.0271332;0.00420179;0.00111361;0.0768118;0.0255025;0.00109427;0.000521079;0.00106624
113000;0.0272291;0.00474892;0.00113374;0.0758379;0.0254496;0.00109269;0.000534895;0.00110453
113500;0.0274336;0.00516697;0.00121427;0.0799327;0.0258455;0.00114795;0.000557396;0.00110058
114000;0.0269477;0.00418521;0.00120085;0.0795075;0.0263804;0.00110098;0.000532132;0.00108598
114500;0.0288966;0.00451523;0.00112506;0.0790311;0.0267163;0.00112743;0.00055187;0.00109071
115000;0.0276902;0.00427916;0.00108795;0.0858173;0.0316559;0.00111361;0.000551475;0.00115822
115500;0.0281252;0.00457641;0.00113848;0.0802197;0.0262328;0.00115743;0.00056845;0.00110334
116000;0.0279614;0.00465694;0.00109308;0.078137;0.0262553;0.00114519;0.000580292;0.00109821
116500;0.0280948;0.00424008;0.0010919;0.0801688;0.0265861;0.00110137;0.000553449;0.00111045
117000;0.0274372;0.00469168;0.00113177;0.0762248;0.0260078;0.00117914;0.000725563;0.00109703
117500;0.0286388;0.00445049;0.0010765;0.0833691;0.0285026;0.00112387;0.000652928;0.00115703
118000;0.0283198;0.00446036;0.00107334;0.0826478;0.0280329;0.00109545;0.000615426;0.00115664
118500;0.0287774;0.00448641;0.00114716;0.0810009;0.0279946;0.0011219;0.000666349;0.00111716
119000;0.0284221;0.00480419;0.00117519;0.0858797;0.0285405;0.00112427;0.000611478;0.00114203
119500;0.0290651;0.00457562;0.00115743;0.083506;0.028417;0.00113058;0.000573976;0.00116374
120000;0.0282966;0.00473116;0.00109584;0.0783308;0.0267167;0.00117203;0.000595688;0.0011065
120500;0.0292069;0.00502959;0.0010994;0.078632;0.0267491;0.0012119;0.000605952;0.00111479
121000;0.0286909;0.00453891;0.00117006;0.082653;0.0284158;0.00112427;0.000560555;0.00113927
121500;0.0383822;0.00457681;0.00110532;0.0841144;0.0297102;0.00114637;0.00056845;0.00114519
122000;0.0386968;0.00464668;0.00107413;0.0830829;0.0292112;0.00115664;0.000571213;0.00114598
122500;0.0298819;0.00470195;0.00110019;0.0874208;0.0303911;0.00115861;0.000570818;0.00117322
123000;0.0289467;0.00502012;0.00145192;0.083191;0.0325943;0.00120046;0.000595293;0.00116058
123500;0.029951;0.00473747;0.00112466;0.0872724;0.0303094;0.00118348;0.000602004;0.00119888
124000;0.0291674;0.00480182;0.00111835;0.0844783;0.030851;0.0011823;0.000584635;0.00114993
124500;0.0302269;0.00513894;0.00110098;0.0851857;0.0311897;0.0011744;0.000578319;0.00115506
125000;0.0303422;0.00496959;0.00112545;0.082604;0.0288058;0.00117914;0.000584635;0.00113137
125500;0.029962;0.00483577;0.00115111;0.0850452;0.0305198;0.00118309;0.000587793;0.00112821
126000;0.0297378;0.00542396;0.00109269;0.0862867;0.0306754;0.0012348;0.000608715;0.00113966
126500;0.0305747;0.00487722;0.00107137;0.0811391;0.0292906;0.00117006;0.000583845;0.0011069
127000;0.0297532;0.00492972;0.00111361;0.0836695;0.0295602;0.00117677;0.000585424;0.00113453
127500;0.0304452;0.0049313;0.00114085;0.0860518;0.0309043;0.00120756;0.000615031;0.00116216
128000;0.0302143;0.00524908;0.00109821;0.0865847;0.03054;0.00121822;0.000666349;0.00117519
128500;0.0310243;0.00505486;0.00113848;0.0884192;0.0309627;0.0011898;0.000613452;0.00116887
129000;0.0307705;0.00528658;0.00106861;0.0908698;0.032663;0.0011969;0.000603978;0.00116256
129500;0.0308013;0.00514565;0.00109506;0.0883537;0.0322489;0.00120203;0.000605557;0.00117164
130000;0.0880197;0.00504223;0.00118466;0.0877584;0.0316129;0.00118703;0.000590556;0.00114756
130500;0.0912354;0.00498222;0.00107611;0.0887141;0.0324561;0.00119927;0.000594898;0.0011669
131000;0.0939308;0.00523329;0.00113256;0.172961;0.0454941;0.00121782;0.000606741;0.00118309
131500;0.106615;0.00496012;0.00107769;0.184265;0.0487675;0.00120598;0.000597662;0.00116809
132000;0.0929806;0.00559331;0.00111835;0.176223;0.0475204;0.00123164;0.000613057;0.00115861
132500;0.100071;0.00515079;0.00110532;0.180671;0.0463519;0.00121269;0.000606346;0.00118466
133000;0.0939588;0.00536751;0.00114637;0.169549;0.0442376;0.0012423;0.000622137;0.00117874
133500;0.0908817;0.00556488;0.00108361;0.1689;0.0441018;0.00126993;0.00063319;0.00117085
134000;0.0995071;0.00534461;0.00108242;0.167811;0.0465063;0.00125927;0.000627663;0.0012048
134500;0.0948328;0.00550804;0.00116532;0.171223;0.0444528;0.00126401;0.000634769;0.00120322
135000;0.0992651;0.00584082;0.00108005;0.173827;0.0452174;0.0012498;0.000622531;0.00119256
